7564 2
42816 -5.577445 -10.733694
53856 3.264199 -17.990009
56178 9.220175 -3.963261
65981 -7.119276 -8.746952
88071 -8.769090 -12.198382
91976 -10.871879 -15.920549
100800 -8.282454 -12.304605
103796 -3.811979 -7.976367
104865 -8.331740 -11.996773
13163 -10.471697 -3.204181
13540 -11.027049 -4.555182
18262 -10.788998 -3.642948
79167 -11.140424 -4.239981
98315 -10.729952 -3.537895
99308 -10.819506 -3.707235
51685 4.827340 -3.451833
61846 -1.913787 1.987383
8192 1.819576 -2.876739
48156 -2.610469 1.788868
53434 -1.489947 2.287401
66131 -2.068316 1.466046
87093 -2.158634 2.490241
94348 3.897151 -20.258129
106626 -2.024256 1.960516
240 3.319924 -15.434555
3098 2.093721 -15.227901
8666 1.984112 -15.061522
8745 4.631843 -4.033165
12031 3.349973 -15.414528
17955 1.767304 -14.946230
18537 -2.010534 -20.317865
25029 4.662562 -5.235028
26511 3.379244 -3.744534
29715 4.721876 -5.216636
33735 -15.705859 -22.386160
42592 2.091213 -15.060484
45178 3.468532 -17.907469
48431 -17.458002 8.778706
50840 1.719401 -15.014081
60746 2.330405 -15.241327
61485 2.058458 -15.292821
66272 -2.262316 4.313139
69439 -0.980113 -13.141365
74925 3.119677 -17.268101
76086 3.533133 -15.081249
78254 -3.255273 -5.211423
79941 2.092501 -15.289054
83382 2.340900 -15.277447
84238 2.102883 -15.281183
87116 3.681166 -2.048451
87253 3.383754 -15.576335
97060 2.140691 -15.133586
102069 1.706583 -15.196250
103443 3.423218 -15.536795
103809 3.312530 -15.415708
104944 3.395025 -15.572183
106560 3.314526 -15.392712
35066 -0.995243 -11.618315
130 -0.925931 -11.561521
16816 0.876285 1.327862
20771 -1.014073 -11.622422
27962 -8.340521 -12.340092
46352 -1.167717 -11.886766
51014 -1.065804 -11.597324
73539 1.176935 1.495867
85840 0.400810 0.833842
87923 7.529239 -13.701317
92945 -1.275623 -11.487618
69597 6.468978 -11.691825
74511 -0.482126 9.227508
77058 -0.289389 9.832332
23069 2.545691 4.999101
1034 2.794662 5.160273
1132 2.652171 5.261389
14454 2.492196 4.664446
21925 2.577538 5.122692
30901 2.602460 4.664868
32155 2.389556 5.007407
34042 2.658635 5.146226
44152 2.688068 5.103139
48773 2.673327 4.960216
56098 2.553683 4.752514
57391 2.669291 5.162026
57735 2.575957 4.777773
76044 2.687104 5.054935
99790 1.440787 5.161418
13634 0.396243 6.409232
15148 0.645002 -10.290402
15200 1.294981 -9.577667
22313 2.495056 0.073681
33572 1.211173 5.285953
36614 1.446535 5.256004
41443 0.633148 3.243588
51065 -1.325076 2.250893
96197 1.043538 5.399695
106905 -26.821362 -6.155029
11214 4.965531 -9.911660
40305 -4.675496 2.607632
64796 1.395336 -18.185715
79257 3.408705 -9.906372
81297 0.942693 5.005616
93113 3.723596 -9.886536
58629 -4.610397 7.428833
15534 -3.914577 6.842390
17212 -5.059136 7.572649
18078 -0.667768 7.805344
21483 -4.833128 7.022121
24489 -0.008999 7.801273
25346 -5.626183 7.943941
27199 -4.461427 7.220933
40007 -3.085191 6.760093
42316 -8.330346 -7.808297
59037 -5.740364 7.973711
59163 -4.449098 7.383032
63358 -4.516511 7.350528
64333 -3.564501 9.027716
71461 -4.370573 7.441041
73800 -4.741305 7.215887
76765 -4.192193 3.251906
78789 -4.706216 7.289171
79087 -5.713037 3.692813
79456 -4.456848 7.195967
79659 -0.116233 6.718786
81115 -5.357690 7.846664
91418 -4.783753 7.722742
99366 -3.951113 6.234385
106309 -3.670672 6.501825
108119 -4.607449 7.493434
2583 9.698948 -24.924891
3198 -5.377784 7.210384
4781 -3.635170 6.533054
4949 -5.695306 7.987527
5715 -4.100738 6.817843
5989 -4.258436 5.566970
8350 -0.456433 4.922928
9489 3.303639 7.195224
14118 -3.092086 4.989803
19383 -4.442326 7.270686
21248 -3.873984 8.859550
30037 -3.076533 5.203318
30576 -3.919006 8.614018
32517 -3.254253 5.398980
47438 -3.951078 8.808271
53048 9.414590 -24.787632
64996 -4.418326 7.040730
75404 -2.786164 7.314919
81189 9.467033 -24.704027
83746 -3.342649 9.043905
85952 -3.924511 9.529770
99690 9.610509 -24.793816
18288 -1.924165 7.890749
189 -4.332118 -1.055121
5215 -5.933019 1.722312
13936 3.008427 11.021682
21181 1.950766 6.860444
35125 -2.818609 8.763428
51882 -1.821129 7.538139
52228 -0.089600 -16.852650
55406 -6.201657 6.003651
57600 -2.647488 8.509459
64071 -3.924281 -1.596308
79862 0.786580 6.245276
82526 1.557750 6.456829
88656 -6.548552 -2.658239
91392 -2.564007 8.857405
19606 3.817766 -1.887621
21987 -8.052033 -3.847745
22054 -6.513847 -2.661801
27649 -7.664520 -5.354377
31432 -6.162038 -2.318472
41591 -6.222506 -2.848155
45876 -6.284804 -3.225010
57832 -6.147559 -1.485885
59003 -6.333863 -2.433440
67757 -6.710344 -1.837002
67869 -6.647164 -3.298837
79806 -6.131926 -0.511836
80171 -6.583952 -2.449712
102554 -6.910414 -2.951935
22790 10.748816 -3.370718
23480 1.498167 -3.064338
28141 1.764225 -2.942674
51041 1.749074 -3.059224
53923 2.190815 -3.019514
54112 6.295163 10.128213
62335 1.791044 -18.399958
90225 -2.552385 0.570417
106628 1.839172 -2.885135
108152 1.707217 -3.007594
16723 -2.378341 5.465402
16766 -2.272211 5.486513
34467 -1.494361 1.979593
59595 -11.982558 -13.763836
74147 -1.876973 1.261605
74638 -3.927644 8.671517
78690 -2.404357 5.512565
102009 -1.010271 2.020497
15221 -2.368407 -10.373481
31652 5.732329 -12.586699
3833 -19.520658 -13.852743
7399 -9.243731 -24.619478
13503 -4.755555 -13.493980
14990 -10.208941 -23.236223
15345 -2.948641 -6.885007
15822 -4.297392 -12.355033
24329 -0.706835 -17.042185
24898 -6.470448 -14.624487
25115 -16.399824 -14.071410
26750 -9.884113 -23.522617
37847 -4.906710 -13.830439
41363 -10.593603 -22.758564
42252 -6.769551 -14.351561
42890 -11.194569 -25.261446
43683 -3.827098 -11.563140
45942 -3.551146 -11.454857
48794 -1.911822 -5.435173
52658 -5.282261 -12.096191
54827 0.639921 -10.277571
67616 -4.819336 -13.747876
72784 -4.780727 -13.374841
78606 -10.933937 -25.074741
82770 -10.593236 -22.763548
83352 5.396761 -16.183914
92413 -4.703498 -13.770100
97375 -4.771194 -13.506037
98410 -6.751225 -14.306495
88557 -1.597713 2.403528
673 3.696645 6.844325
1041 -10.767844 -22.469654
1995 -2.429246 8.942519
3139 -3.951233 -4.968549
4199 -9.758771 6.773509
5576 -3.649277 1.680492
6007 -3.379969 1.504069
6313 1.933486 2.726555
9004 11.877093 -8.471407
9227 -2.971961 3.358718
10117 5.452928 -7.764474
10915 11.902208 -8.484182
11559 -11.755169 -21.859419
11760 -2.985057 9.214560
12593 -12.817909 0.390750
12797 -10.420321 -21.657019
12865 5.601774 -7.555933
12915 -11.412635 -22.082546
13000 -0.086605 -17.626432
13217 -12.726516 3.962251
14428 -3.785532 1.237780
14934 -0.647568 -6.031406
15072 5.404913 -7.788645
16166 -1.969633 -10.797768
16727 1.424730 -14.615291
17758 -12.785196 4.015556
18928 -12.793263 0.327804
18996 2.738503 4.798086
19051 -3.349433 1.685888
19111 -3.905773 -6.091977
19211 -0.798061 6.088120
19411 -9.949165 6.701430
20113 -10.322812 -24.457136
21344 -12.948471 0.263776
22023 -10.714033 -22.467482
23425 -11.019631 -22.433514
23592 -7.650553 -12.812013
24098 -2.206683 -6.928843
24390 -24.629694 -6.488718
24606 -25.349642 -6.449471
24928 -10.922139 -22.340229
25296 -12.583919 3.747659
25371 -12.567900 3.787113
25696 -0.211318 -17.589331
25926 -10.546865 -22.104744
26075 -11.183236 2.729323
26928 1.221468 1.335810
27314 10.522189 -15.739218
27458 -1.093898 5.488376
28348 -12.742411 0.270166
28575 8.053181 -8.308636
29121 5.563953 -7.601439
30488 4.669608 -3.956748
31522 5.473286 -7.761743
31762 9.877065 0.222808
32165 -12.613483 3.817127
33118 -16.439758 -19.769901
35688 -2.389646 8.887884
37101 -7.948639 -9.920258
37118 -12.497372 0.221217
37136 -12.317795 -17.371595
37829 -25.145933 -9.058733
38159 11.891548 -8.489946
38606 -1.163469 -8.094622
38831 -1.086700 -19.123718
39193 1.511964 -14.486238
41228 -10.632736 -22.636368
42792 -4.750305 -12.039403
43911 1.501940 -14.506742
44534 7.004332 -4.476945
45011 11.845375 -8.335934
46016 -4.287194 -11.835707
46934 -1.957531 -7.925130
46999 -2.856563 -14.832818
47132 -9.944437 6.676744
47663 7.002348 -4.433260
47690 -11.045052 -22.306513
48194 0.526296 -6.954773
48415 -5.000854 2.737396
49421 -9.254631 -2.762569
50674 -4.247270 -4.561467
50945 4.197875 -13.517333
51055 -12.813899 0.303542
51562 2.885462 -1.475607
51617 -11.733469 -21.695673
51887 -11.134254 -23.622015
52421 -4.955318 -10.575465
53487 3.134141 -2.416699
53741 -0.383405 -7.027721
53775 -0.138818 -17.686649
53791 -0.121309 -9.217444
53806 0.759569 -10.057785
53880 -6.614349 -13.935649
54178 -5.927274 -7.043224
54862 -0.274791 -6.965719
54888 -0.186852 -7.555612
55056 -1.828002 1.316743
55437 -1.468716 -10.999059
56293 -12.857503 0.382323
56299 -12.500712 -17.319092
56456 1.688956 2.714644
58328 9.029568 0.817456
59400 -12.750807 3.978554
59446 -12.921922 0.358768
59473 -12.802554 0.291114
59728 -8.463932 -22.823271
60450 -5.940793 -14.771827
61228 -1.477322 -10.705703
61330 3.129967 5.186678
61795 11.850844 -8.460561
62131 5.606711 -9.911839
62217 -7.851318 -8.053788
65130 -4.459915 -11.762502
65285 -10.989737 -22.413958
66108 -27.105043 -7.668825
66800 -1.467919 -1.283465
67123 -0.123121 -12.126971
68724 -0.654236 -17.790556
68811 -4.055382 -10.677796
69454 1.542312 -14.575019
69510 -8.535567 -25.797031
71613 -4.677268 -11.743231
73147 1.518980 -14.560398
73524 1.158427 -4.891885
73664 1.289976 1.307176
73706 -9.881152 6.624245
73904 -19.967930 -2.312845
74724 -8.427730 -22.644302
75027 -24.509119 -6.442497
75988 -15.469580 -4.845498
76029 -12.740333 -17.299618
76911 -25.804569 -6.498806
76939 -10.539467 6.509376
76949 -9.987919 6.675519
76955 -9.985978 6.737851
76989 6.342778 -4.517919
77308 -2.837082 1.779734
77620 -2.124083 8.746774
78521 -11.303327 -10.420204
79967 -4.625104 -11.783203
80222 -8.103123 -20.145704
81662 -9.564895 7.048291
84430 -0.360917 -0.125854
84761 -4.952675 -20.444519
84877 5.448792 -7.782898
85864 0.013549 1.299457
87165 -0.315305 -17.863548
87532 -25.662973 -6.554690
87782 -7.748951 0.824541
88971 -10.684355 -22.608612
89351 -0.381516 -7.692320
89540 -20.386349 -0.256510
89688 -25.593140 -6.725497
90487 5.472103 -7.696110
90758 -2.999402 -6.710821
91575 5.418903 -7.779740
92538 -25.934959 -6.542728
92541 -0.165401 -7.598136
92709 -2.812828 -12.324551
92822 -17.035833 -20.461449
93740 -11.375134 -16.253826
94448 1.390847 -13.537450
95573 3.267336 5.266756
95607 -5.720892 -14.955695
98553 -7.885835 0.480968
98787 -9.935048 6.633865
99115 -0.931150 -18.203287
101355 1.310640 -7.926878
102388 1.847878 -0.197984
102934 -10.717754 -22.497286
103074 -12.369448 -9.309298
103180 5.508634 -10.057873
104019 -1.802286 -7.128651
104100 -1.551882 -10.568316
104572 -11.413813 -22.069887
104657 -4.328381 -9.188309
106773 0.185213 -8.561297
107086 0.861216 -7.353261
107341 -0.135512 -7.745621
107705 -2.770509 0.167229
108214 -10.028878 6.629000
4035 1.747775 -16.388895
19747 -8.613923 -23.066126
76737 0.756434 1.929156
79711 -4.408121 -2.757899
94716 1.731132 -16.389601
106218 -4.054770 -2.965607
13086 2.041268 0.961900
22117 1.981037 1.101419
106610 2.071156 0.796081
26970 -1.901645 -3.559000
75100 1.444429 3.709380
40111 1.268125 3.743870
52868 1.650384 3.764845
65575 1.351299 3.713063
75889 -6.777995 2.585965
427 -6.595684 2.845879
6942 -1.815645 5.761127
11968 -7.436389 1.690673
27623 -2.048254 8.575896
30433 -9.859028 1.095243
33060 -7.161417 3.960344
64643 -6.971964 2.516648
67342 -0.233702 4.963973
71548 -4.667964 -10.706445
80751 3.608690 -15.896232
98291 8.830119 -3.577375
101191 -10.213655 -18.318954
49684 -3.581606 6.221302
61238 -3.794042 1.403543
616 0.119376 -0.417086
1498 -16.762417 -1.795958
1764 -6.861732 6.673298
1930 -20.444391 -23.558680
5869 0.172003 -0.892266
6911 4.826468 -4.589190
6960 -0.229494 -1.523230
10765 -0.307882 -2.747930
13443 -3.905120 -4.042990
15584 -0.750703 -1.754647
22461 11.059634 -0.743637
27244 -10.085718 -0.831972
28452 -0.565420 -1.525325
28901 7.703334 -8.740761
29745 -0.672488 -1.464023
31225 0.178971 -1.093187
37431 8.533466 -10.236666
59127 -26.742165 -4.156708
59244 -7.130651 6.641843
59283 -7.159138 6.603840
62534 -7.250288 6.547594
74785 -4.031654 2.893857
75916 -5.299790 -2.195078
79518 -7.249421 6.542133
79761 -16.200996 -2.396372
81679 -4.079311 -4.125661
82609 -0.822690 -1.370997
83401 5.106203 1.180286
85057 4.673459 -4.243092
88215 0.033323 -1.850415
90536 -9.105045 -0.888925
92678 -2.307612 -26.850195
95379 -13.890247 -3.593970
97744 -17.242683 -15.784926
99227 -0.599507 -1.790645
99536 0.117197 -0.507151
319 -10.973239 -14.323417
38632 -24.027285 -9.625797
46312 -5.614086 -15.933927
52791 5.258583 0.762160
56970 -18.134066 -12.673735
97121 -17.016500 -16.170641
53969 -2.441692 -7.668930
8578 -1.178204 -18.139721
10910 3.660211 -9.854712
15086 -3.076323 -13.389468
18715 -0.313703 -10.282402
18881 -2.404070 -7.441897
22540 0.650394 -8.386447
32332 -1.343793 -17.884651
32987 -5.168036 2.596274
56476 -7.555741 -6.321352
56491 -2.413219 -7.391446
77132 -1.217353 -18.523287
87057 -2.324714 -7.057028
91104 -1.159432 -18.191687
92629 -2.240571 -7.958248
94811 -3.152084 -7.646473
101425 -1.923930 -10.811940
101472 -1.607084 -8.722650
105534 -2.533945 -7.412847
106740 -7.756063 -6.172458
107079 -7.683499 0.284177
27163 -3.523830 -6.395216
30196 -14.116029 -15.694052
69453 -8.142907 -17.913902
62577 1.128707 5.334209
41416 -6.059716 -5.706135
2289 -5.549410 -5.881913
8986 -6.418620 -5.488988
11816 -6.216960 -5.413557
14900 -1.101269 -17.747322
16350 -5.597563 -9.048887
17933 -7.319635 -11.484300
21286 -13.847557 -8.096527
26130 -15.109897 -11.212161
27372 -6.032303 -5.175324
34619 -5.037313 -8.530569
36848 -5.174681 -6.690360
39005 -6.465599 -5.372218
44882 -6.231039 -5.401676
44985 -6.367794 -5.835139
49669 -4.953549 -6.131046
50989 1.752369 -14.262235
57213 -9.986317 0.984993
57274 -6.260382 -5.773107
64517 7.012138 3.653391
70989 -5.693116 -5.964482
76143 -6.383378 -5.617214
84495 -6.304884 -5.356305
100327 -6.266850 -5.333952
107928 -6.436476 -4.765933
2716 -7.122228 -6.657161
24261 -6.436646 -5.635479
26457 -4.454795 -21.291212
35797 -4.977688 -21.677094
36252 -6.413533 -5.440956
36887 3.801456 -25.071981
38981 -7.387256 -6.367572
44944 -6.484524 -5.514307
48594 -7.771854 -7.026232
55138 -6.272182 -5.476130
60537 -6.493907 -5.500144
61531 -7.842287 -0.941383
66606 -6.611479 -5.694777
75378 -6.528240 -5.833206
80421 -4.654643 -21.962111
107949 -6.485062 -5.887783
14364 3.543144 -15.754663
14954 3.748232 -16.183069
30142 3.477562 -15.567546
58039 -3.541716 6.046053
67531 3.777681 -16.375406
74250 3.731276 -16.414051
76875 3.472502 -15.691481
77912 3.795505 -16.422400
89222 3.689871 -15.936070
12366 -7.485782 3.842894
37675 -6.350867 5.594309
37913 -7.225085 3.823340
59316 -7.124576 4.228770
73333 -6.930716 4.839683
76328 -7.316394 4.138083
82865 -3.905775 2.817492
91966 -3.997394 1.506768
2139 -7.721170 -5.625907
4230 -8.238813 -7.727895
8810 4.822296 -4.919511
18654 -8.490612 -4.294070
19822 -6.258978 -4.856289
23154 -8.022309 -7.017431
24205 -7.135904 -4.440199
37298 -8.335826 -7.671003
39620 -7.885190 -5.549778
39976 4.797959 -5.066087
40271 -9.335704 -8.534727
40494 9.008080 -6.551762
45501 -8.565130 -7.369760
48307 -7.554130 -6.262625
49559 -10.095002 -15.300150
51419 -1.410454 4.444193
51728 -10.858727 -4.547499
54127 -8.070361 -7.515462
56193 -9.611303 1.938691
57195 -17.319260 -9.026131
57846 -10.462365 -4.581039
61084 -10.707329 -4.673522
61537 -7.184556 -4.672610
62113 -10.662956 -5.000257
62258 -11.118317 -5.167711
62859 -8.168218 -7.528852
62958 -7.370280 -7.567881
65268 -6.943316 -4.481560
68754 7.670221 -12.599878
70961 -8.740127 -16.214857
75966 5.895784 1.001747
79145 -8.920490 -4.298625
84612 -6.941405 -4.656529
87756 -7.639017 -5.697595
93278 5.783086 1.047299
93922 0.075579 -13.922521
95776 -6.762670 -2.088608
97254 -7.902429 -5.327380
97721 -7.976459 -7.190588
